id,year,category,name,furigana,startDate,imagePath,url,isActive,createdAt,updatedAt,updatedBy
10,,2,アルファビジネス,あるふぁびじねす,2020-02-06,,http://www.alpha-business.co.jp/,1,2020-02-06 18:07:55,2020-02-06 18:09:45,3
11,,2,コスモ通信システム,こすもつうしんしすてむ,2020-02-06,,http://kosmo-ts.com/,1,2020-02-06 18:08:19,2020-02-06 18:09:56,3
12,,2,札幌地区サッカー協会,さっぽろちくさっかーきょうかい,2020-02-06,,http://www.sfa-net.jp/,1,2020-02-06 18:08:46,2020-02-06 18:10:08,3
13,,2,札幌メールサービス,さっぽろめーるさーびす,2020-02-06,,http://www.sapporomail.jp/,1,2020-02-06 18:09:34,2020-02-06 18:09:34,3
14,,2,support dental office　新札幌いった歯科,さぽーとでんたるおふぃすしんさっぽろいったしか,2020-02-06,,http://www.shinsapporo-itta-dental.com/,1,2020-02-06 18:10:58,2020-02-06 18:10:58,3
15,,2,須田製版,すだせいはん,2020-02-06,,http://www.suda.co.jp/,1,2020-02-06 18:11:18,2020-02-06 18:11:18,3
16,,2,セガサミーカップ,せがさみーかっぷ,2020-02-06,,,1,2020-02-06 18:11:45,2020-02-06 18:11:45,3
17,,2,TAZAWA INC.,たざわ,2020-02-06,,http://www.tazawanet.co.jp/,1,2020-02-06 18:13:19,2020-02-06 18:13:19,3
19,,2,東邦交通,とうほうこうつう,2020-02-06,,http://www.toho-kotu.co.jp/,1,2020-02-06 18:14:08,2020-02-06 18:14:08,3
20,,2,パルコ,ぱるこ,2020-02-06,,http://sapporo.parco.jp/page2/,1,2020-02-06 18:14:35,2020-02-06 18:14:35,3
21,,2,ブロス・カンパニー,ぶろすかんぱにー,2020-02-06,,http://bros-company.com/,1,2020-02-06 18:14:56,2020-02-14 16:27:36,4
22,,2,ベルックス,べるっくす,2020-02-06,,http://www.belx.jp/,1,2020-02-06 18:15:17,2020-02-06 18:15:17,3
23,,2,みついし昆布,みついしこんぶ,2020-02-06,,http://yorokonbu.com/,1,2020-02-06 18:15:39,2020-02-06 18:15:39,3
24,,2,ウインドヒル,ういんどひる,2020-02-06,,http://www.web-windhill.com/,1,2020-02-06 18:16:00,2020-02-06 18:16:00,3
25,,2,日本ライフライン,にほんらいふらいん,2020-02-06,,http://www.aed-rescue.com/,1,2020-02-06 18:16:24,2020-02-06 18:16:24,3
26,,2,エグジスタンス,えぐじすたんす,2020-02-06,,http://www.existence.co.jp/,1,2020-02-06 18:16:45,2020-02-06 18:16:45,3
27,,2,しなねん商事,しなねんしょうじ,2020-02-06,,http://www.sinanen-shoji.com/,1,2020-02-06 18:17:02,2020-02-14 12:05:21,4
28,,2,北海道焼肉プライム,ほっかいどうぷらいむ,2020-02-06,,http://www.kogane.co.jp/,1,2020-02-06 18:17:31,2020-02-06 18:17:31,3
30,,2,サバンナ,さばんな,2020-02-06,,http://www.svn.co.jp/,1,2020-02-06 18:18:34,2020-02-06 18:18:34,3
38,,2,北海道イトーヨーカドー,ほっかいどういとーよーかどー,2020-02-06,,http://www.itoyokado.co.jp/store/result.html#area_hokkaido,1,2020-02-06 18:23:10,2020-02-06 18:23:10,3
39,,2,月島名物もんじゃ だるま,つきしまめいぶつもんじゃだるま,2020-02-06,,http://www.monjadaruma.com/index.htm,1,2020-02-06 18:23:33,2020-02-06 18:23:33,3
41,,2,菅原工業,すがわらこうぎょう,2020-02-06,,,1,2020-02-06 18:24:12,2020-02-06 18:24:12,3
42,,2,アドバンスフロー,あどばんすふろー,2020-02-06,,https://find-bestwork.com/,1,2020-02-06 18:24:33,2020-02-06 18:24:33,3
45,,2,北杜土質,ほくとしどしつ,2020-02-06,,https://www.hkt-d.co.jp/,1,2020-02-06 18:26:11,2020-02-06 18:26:11,3
46,,2,福田観光,ふくだかんこうかぶしきがいしゃ,2020-02-06,,,1,2020-02-06 18:26:27,2020-02-14 16:27:16,4
47,,2,栗林石油株式会社,くりばやしせきゆ,2020-02-06,,,1,2020-02-06 18:27:28,2020-02-12 12:07:22,3
48,,2,キャリアバンク,きゃりあばんく,2020-02-06,,http://www.career-bank.co.jp/index.html,1,2020-02-06 18:27:45,2020-02-06 18:27:45,3
49,,2,マルケイ河原ボーリング,まるけいかわらぼーりんぐ,2020-02-06,,,1,2020-02-06 18:28:13,2020-02-06 18:28:13,3
50,,2,ゆうらく,ゆうらく,2020-02-06,,http://yuraku-main.com,1,2020-02-06 18:28:31,2020-02-14 16:30:41,4
53,,2,ファインドリームス,ふぁいんどりーむす,2020-02-06,,,1,2020-02-06 18:29:38,2020-02-06 18:29:38,3
157,,2,ダイシン設計,だいしんせっけいかぶしきがいしゃ,2020-02-01,,https://www.dacc.co.jp/,1,2020-02-12 16:51:28,2020-02-14 16:26:07,4
159,,2,株式会社OGURI ドクターポット,おぐり,2020-02-01,,http://dr-pot.com/,1,2020-02-12 17:10:28,2020-02-12 17:14:23,4
161,,2,(株)ニナガワ,にながわ,2020-02-13,,,1,2020-02-13 17:28:20,2020-02-14 16:26:59,4
162,,2,合同会社Link,ごうどうがいしゃりんく,2020-02-07,,https://www.link-sapporo.com/,1,2020-02-13 17:36:25,2020-02-26 16:09:23,19
168,,2,SATO社会保険労務士法人,さとうしゃかいほけんろうむしほうじん,2020-02-01,,https://www.sato-group-sr.jp/,1,2020-02-14 17:26:17,2020-02-14 17:26:17,4
176,,2,株式会社スタイル,すたいる,2020-02-01,,,1,2020-03-11 17:09:55,2020-03-11 17:09:55,18
